#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
FAM71A	SMIM31	9606.ENSP00000294829	9606.ENSP00000490699	0	0	0	0	0	0	0	0.471	0.471
FBLN7	NTNG1	9606.ENSP00000331411	9606.ENSP00000359085	0	0	0	0	0	0.099	0	0.386	0.423
FCGRT	TYROBP	9606.ENSP00000410798	9606.ENSP00000262629	0	0	0	0	0.339	0	0	0.166	0.426
FCGRT	FCRLB	9606.ENSP00000410798	9606.ENSP00000356925	0	0	0	0	0.043	0	0	0.446	0.447
FFAR2	P2RY2	9606.ENSP00000473159	9606.ENSP00000310305	0	0	0	0.635	0.047	0	0	0.422	0.425
FFAR2	NLRP3	9606.ENSP00000473159	9606.ENSP00000337383	0	0	0	0	0.133	0.091	0	0.339	0.433
FFAR2	MUC2	9606.ENSP00000473159	9606.ENSP00000494061	0	0	0	0	0.058	0.045	0	0.440	0.453
FGG	VWF	9606.ENSP00000336829	9606.ENSP00000261405	0	0	0	0	0	0.046	0.400	0.780	0.863
FGG	TSPAN15	9606.ENSP00000336829	9606.ENSP00000362387	0	0	0	0	0	0	0	0.492	0.492
GALK1	MYH8	9606.ENSP00000225614	9606.ENSP00000384330	0	0	0	0	0	0	0	0.432	0.432
GALK1	MYH1	9606.ENSP00000225614	9606.ENSP00000226207	0	0	0	0	0	0	0	0.459	0.459
GALK1	MYH4	9606.ENSP00000225614	9606.ENSP00000255381	0	0	0	0	0	0	0	0.495	0.495
GNLY	TYROBP	9606.ENSP00000436423	9606.ENSP00000262629	0	0	0	0	0.268	0	0	0.247	0.425
GPIHBP1	VWF	9606.ENSP00000480053	9606.ENSP00000261405	0	0	0	0	0.318	0	0	0.241	0.460
GPR17	P2RY2	9606.ENSP00000442982	9606.ENSP00000310305	0	0	0	0.769	0	0	0.400	0.116	0.447
GPR17	MAS1	9606.ENSP00000442982	9606.ENSP00000501180	0	0	0	0.597	0	0.050	0	0.395	0.400
GRIA2	HTR3B	9606.ENSP00000296526	9606.ENSP00000260191	0	0	0	0	0.055	0	0.540	0.189	0.616
GRIPAP1	VPS50	9606.ENSP00000365606	9606.ENSP00000307666	0	0	0	0	0.074	0.138	0	0.384	0.466
H2AC14	HDAC10	9606.ENSP00000328484	9606.ENSP00000216271	0	0	0	0	0	0.133	0.650	0.060	0.689
H2AC14	TAF1A	9606.ENSP00000328484	9606.ENSP00000339976	0	0	0	0	0	0	0.400	0	0.400
H2AC14	MAFB	9606.ENSP00000328484	9606.ENSP00000362410	0	0	0	0	0	0	0.500	0	0.499
H2AC14	UHRF1	9606.ENSP00000328484	9606.ENSP00000479617	0	0	0	0	0.060	0.045	0.500	0	0.511
HCST	LST1	9606.ENSP00000246551	9606.ENSP00000365261	0	0	0	0	0.437	0	0	0.059	0.447
HCST	VAV1	9606.ENSP00000246551	9606.ENSP00000472929	0	0	0	0	0.186	0	0	0.947	0.955
HCST	TYROBP	9606.ENSP00000246551	9606.ENSP00000262629	0	0	0	0	0.780	0.154	0	0.978	0.995
HJURP	RAD51AP1	9606.ENSP00000414109	9606.ENSP00000228843	0	0	0.225	0	0.455	0	0	0.249	0.655
HJURP	TPX2	9606.ENSP00000414109	9606.ENSP00000300403	0	0	0	0	0.813	0	0	0.447	0.892
HJURP	UHRF1	9606.ENSP00000414109	9606.ENSP00000479617	0	0	0	0	0.503	0	0	0.195	0.583
HPGDS	TBXAS1	9606.ENSP00000295256	9606.ENSP00000389414	0	0	0	0	0.169	0	0	0.466	0.537
HSPB2	TGFB1I1	9606.ENSP00000302476	9606.ENSP00000378332	0	0	0	0	0.063	0.292	0	0.203	0.425
HSPB2	LMOD1	9606.ENSP00000302476	9606.ENSP00000356257	0	0	0	0	0.254	0	0	0.407	0.539
HSPB2	HSPB7	9606.ENSP00000302476	9606.ENSP00000364870	0	0	0	0.662	0.414	0	0	0.477	0.681
IGFBP7	VWF	9606.ENSP00000295666	9606.ENSP00000261405	0	0	0	0	0.098	0	0	0.731	0.746
ISL2	POU4F3	9606.ENSP00000290759	9606.ENSP00000495718	0	0	0	0	0.062	0.097	0	0.433	0.479
ITPRIP	RASSF1	9606.ENSP00000278071	9606.ENSP00000349547	0	0	0	0	0.067	0.441	0	0	0.456
KCNA5	RPL18A	9606.ENSP00000252321	9606.ENSP00000222247	0	0	0	0	0.302	0.324	0	0.092	0.534
KCNA5	TRPM4	9606.ENSP00000252321	9606.ENSP00000252826	0	0	0	0	0	0.064	0	0.389	0.403
KCNA5	RPL10A	9606.ENSP00000252321	9606.ENSP00000363018	0	0	0	0	0.245	0.289	0	0.091	0.469
KCNA5	MRNIP	9606.ENSP00000252321	9606.ENSP00000292586	0	0	0	0	0.300	0.288	0	0.080	0.501
KCNA5	VWF	9606.ENSP00000252321	9606.ENSP00000261405	0	0	0	0	0.139	0.128	0	0.531	0.618
KCNN4	TRPM4	9606.ENSP00000496939	9606.ENSP00000252826	0	0	0	0	0.064	0	0	0.507	0.519
KCTD11	SHKBP1	9606.ENSP00000495203	9606.ENSP00000291842	0	0	0	0	0	0	0	0.549	0.549
KIR3DL3	TYROBP	9606.ENSP00000291860	9606.ENSP00000262629	0	0	0	0	0.062	0	0	0.414	0.427
KL	WNT5A	9606.ENSP00000369442	9606.ENSP00000264634	0	0	0	0	0	0.095	0	0.538	0.564
KL	WNT7A	9606.ENSP00000369442	9606.ENSP00000285018	0	0	0	0	0	0.061	0	0.517	0.527
KL	UGT2B17	9606.ENSP00000369442	9606.ENSP00000320401	0	0	0	0	0	0	0.650	0.070	0.660
KRT13	SPRR1B	9606.ENSP00000246635	9606.ENSP00000306461	0	0	0	0	0.270	0	0	0.306	0.471
LCE2B	SPRR1B	9606.ENSP00000357769	9606.ENSP00000306461	0	0	0	0	0.174	0	0.500	0.356	0.710
LCE2B	PPL	9606.ENSP00000357769	9606.ENSP00000340510	0	0	0	0	0.056	0	0.500	0	0.507
LGALS1	S100A6	9606.ENSP00000215909	9606.ENSP00000357709	0	0	0	0	0.399	0.087	0	0.376	0.628
LMOD1	MYLPF	9606.ENSP00000356257	9606.ENSP00000325239	0	0	0	0	0.114	0	0.500	0.048	0.541
LST1	TYROBP	9606.ENSP00000365261	9606.ENSP00000262629	0	0	0	0	0.792	0	0	0	0.792
LST1	MYO1F	9606.ENSP00000365261	9606.ENSP00000494550	0	0	0	0	0.473	0	0	0	0.473
MAFB	TYROBP	9606.ENSP00000362410	9606.ENSP00000262629	0	0	0	0	0.335	0	0	0.255	0.483
MAFB	WNT5A	9606.ENSP00000362410	9606.ENSP00000264634	0	0	0	0	0.056	0	0	0.422	0.431
MRNIP	RPL18A	9606.ENSP00000292586	9606.ENSP00000222247	0	0	0	0	0.830	0.839	0	0.291	0.978
